"","lake","Collection Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"77","Parkers",2023-08-08,"Epi",NA,2.3112,22.1865,0.5982,0.0089,3e-04,21.4908,6.8441,2.7352,270.92
"78","Parkers",2023-08-08,"Hypo",NA,245.956,217.6616,1.0531,0.8017,9e-04,NA,NA,12.4557,575.9
"79","Snail",2023-08-07,"Epi",NA,5.2339,17.0701,0.6918,0.0154,0.0017,12.4433,8.5147,0.4156,116.42
"80","Snail",2023-08-07,"Hypo",NA,62.6306,199.5918,0.8172,0.0621,0.0059,NA,NA,1.3884,106.58
"81","Little Johanna",2023-08-07,"Epi",NA,21.2706,60.5757,0.8303,0.0884,0.1156,13.325,8.1582,2.595,121.2
"82","Little Johanna",2023-08-07,"Hypo",NA,6257.352,266.5834,33.104,32.4819,0.0091,NA,NA,17.8744,1254.7
"83","Wabasso",2023-08-09,"Epi",NA,4.8613,17.0306,0.7886,0.0172,0.0013,21.9128,9.2542,0.8192,66.76
"84","Wabasso",2023-08-09,"Hypo",NA,506.0216,331.7188,2.9077,1.761,0.0018,NA,NA,4.8042,69.53
"85","McCarrons",2023-08-07,"Epi",NA,2.2849,19.9162,0.5878,0.0129,9e-04,28.5263,6.6581,1.5414,139.78
"86","McCarrons",2023-08-07,"Hypo",NA,285.6096,119.534,2.4237,2.1742,0.0034,NA,NA,8.1945,158.87
"87","Tanners",2023-08-07,"Epi",NA,3.4338,17.1564,0.8289,0.017,0.0011,28.6497,8.4105,2.493,199.73
"88","Tanners",2023-08-07,"Hypo",NA,1553.5384,316.6632,3.3528,3.1939,0.0061,NA,NA,10.2295,273.7
"89","Phalen",2023-08-07,"Epi",NA,3.4669,12.2703,0.6343,0.0139,0.0024,20.0202,8.0194,1.9492,203.26
"90","Phalen",2023-08-07,"Hypo",NA,71.3613,99.1259,1.3382,0.2528,0.2821,NA,NA,3.6869,185.55
"91","Smith",2023-09-06,"Epi",NA,2.4173,NA,NA,0.0206,0.0019,NA,NA,3.3537,17.37
"92","Henry",2023-09-06,"Epi",NA,7.1019,NA,NA,0.0951,NA,NA,NA,1.6179,495.84
"93","Uhlenkolts",2023-09-06,"Epi",NA,249.3734,NA,NA,0.8361,0.0045,NA,NA,8.8593,38.99
"94","Henry",2023-09-06,"Hypo",NA,385.1154,NA,NA,5.3228,0.0163,NA,NA,8.0128,472.2
"95","Smith",2023-09-06,"Hypo",NA,153.7104,NA,NA,0.0849,0.0079,NA,NA,3.4085,19.2
"96","Uhlenkolts",2023-09-06,"Hypo",NA,268.149,NA,NA,0.7931,0.0097,NA,NA,9.6267,39.89
"97","Minnetonka",2023-09-11,"Epi",4.2119523943398,2.1554,NA,NA,0.008,0.001,NA,NA,2.9334,59.91
"98","Medicine",2023-09-11,"Epi",12.0326522350295,13.0307,NA,NA,0.0773,0.013,NA,NA,8.4147,206.48
"99","Parkers",2023-09-11,"Epi",11.4765986318058,2.2496,NA,NA,0.0089,0.0013,NA,NA,5.3026,258.64
"100","Snail",2023-09-14,"Epi",9.38397413550745,2.1254,NA,NA,0.0096,0.0027,NA,NA,0.2841,122.94
"101","Little Johanna",2023-09-12,"Epi",11.0192847905538,3.69,NA,NA,0.0145,0.0114,NA,NA,0.7835,153.16
"102","Wabasso",2023-09-12,"Epi",4.75018161371943,1.9636,NA,NA,0.0137,0.0021,NA,NA,0.9297,71.41
"103","McCarrons",2023-09-12,"Epi",8.54034186111892,1.0716,NA,NA,0.0082,0.0025,NA,NA,1.5205,145.94
"104","Tanners",2023-09-12,"Epi",17.8607425733296,2.5383,NA,NA,0.0076,5e-04,NA,NA,2.3305,198.24
"105","Phalen",2023-09-12,"Epi",3.41453359572674,1.4724,NA,NA,0.01,0.0022,NA,NA,2.5376,208.44
"106","Bde Maka Ska",2023-09-13,"Epi",6.25399531440352,0.7214,NA,NA,0.012,0.0016,NA,NA,1.8737,176.3
"107","Cedar",2023-09-13,"Epi",15.3846488614001,1.9777,NA,NA,0.0102,0.0033,NA,NA,2.0625,165.86
"108","Brownie",2023-09-13,"Epi",95.171715490582,1.8136,NA,NA,0.0051,0.005,NA,NA,8.0859,348.5
"109","Minnetonka",2023-09-11,"Hypo",NA,48.4919,NA,NA,0.2204,0.131,NA,NA,7.3063,55.16
"110","Medicine",2023-09-11,"Hypo",NA,1610.37,NA,NA,1.1719,0.0046,NA,NA,14.566,205.6
"111","Parkers",2023-09-11,"Hypo",NA,98.0438,NA,NA,0.4813,0.0051,NA,NA,9.2308,491.6
"112","Snail",2023-09-14,"Hypo",NA,19.1529,NA,NA,0.0343,0.0044,NA,NA,0.345,115.88
"113","Little Johanna",2023-09-12,"Hypo",NA,231.688,NA,NA,37.8899223115578,0.0052,NA,NA,2.1904,1287.9
"114","Wabasso",2023-09-12,"Hypo",NA,111.6087,NA,NA,1.8531,0.0025,NA,NA,4.0906,75.81
"115","McCarrons",2023-09-12,"Hypo",NA,728.6348,NA,NA,4.81859487179487,0.0109,NA,NA,10.2479,175.6
"116","Tanners",2023-09-12,"Hypo",NA,790.8304,NA,NA,4.14666366906475,0.0048,NA,NA,10.4794,279.6
"117","Phalen",2023-09-12,"Hypo",NA,449.6166,NA,NA,1.9478,0.0067,NA,NA,6.9104,193.6
"118","Bde Maka Ska",2023-09-13,"Hypo",NA,316.6995,NA,NA,1.0863,0.0074,NA,NA,3.7678,173.87
"119","Cedar",2023-09-13,"Hypo",NA,138.6435,NA,NA,3.89060015993603,0.0055,NA,NA,9.0481,165.84
"120","Brownie",2023-09-13,"Hypo",NA,156.736,NA,NA,52.8471670682731,0.0078,NA,NA,2.7203,1163
"121","Smith",2023-10-20,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,7.1901,NA
"122","Henry",2023-10-20,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,2.6456,NA
"123","Uhlenkolts",2023-10-20,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,11.9654,NA
"124","Henry",2023-10-20,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,2.7001,NA
"125","Smith",2023-10-20,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,7.2614,NA
"126","Uhlenkolts",2023-10-20,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,11.9234,NA
"127","Minnetonka",2023-10-23,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,3.8079,NA
"128","Medicine",2023-10-23,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,9.691,NA
"129","Parkers",2023-10-23,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,6.7914,NA
"130","Snail",2023-11-13,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Little Johanna",2023-10-26,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,2.6959,NA
"132","Wabasso",2023-11-13,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","McCarrons",2023-10-26,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,1.5756,NA
