"","lake","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"101","Wabasso",2023-09-12,"Epi",4.75018161371943,1.9636,20.0951,0.7445,0.0137,0.0021,22.155,8.7799,0.9297,71.41
"102","McCarrons",2023-09-12,"Epi",8.54034186111892,1.0716,17.9164,0.4786,0.0082,0.0025,27.8125,6.8724,1.5205,145.94
"103","Tanners",2023-09-12,"Epi",17.8607425733296,2.5383,20.1044,0.5978,0.0076,5e-04,27.821,8.8003,2.3305,198.24
"104","Phalen",2023-09-12,"Epi",3.41453359572674,1.4724,13.3749,0.516,0.01,0.0022,21.399,8.761,2.5376,208.44
"105","Bde Maka Ska",2023-09-13,"Epi",6.25399531440352,0.7214,18.8026,0.6225,0.012,0.0016,25.5375,7.4739,1.8737,176.3
"106","Cedar",2023-09-13,"Epi",15.3846488614001,1.9777,26.7813,0.8591,0.0102,0.0033,26.8417,5.8817,2.0625,165.86
"107","Brownie",2023-09-13,"Epi",95.171715490582,1.8136,72.6225,1.1259,0.0051,0.005,35.651,4.2499,8.0859,348.5
"108","Minnetonka",2023-09-11,"Hypo",NA,48.4919,123.4781,1.189,0.2204,0.131,34.8103,5.3113,7.3063,55.16
"109","Medicine",2023-09-11,"Hypo",NA,194.3451,758.9379,1.5292,1.1719,0.0046,39.4141,5.588,14.566,205.6
"110","Parkers",2023-09-11,"Hypo",NA,98.0438,223.8362,1.3489,0.4813,0.0051,NA,3.366,9.2308,491.6
"111","Snail",2023-09-14,"Hypo",NA,19.1529,131.5131,1.2803,0.0343,0.0044,26.2027,5.0649,0.345,115.88
"112","Little Johanna",2023-09-12,"Hypo",NA,198.8313,261.3677,20.172,37.8899223115578,0.0052,NA,7.4651,2.1904,1287.9
"113","Wabasso",2023-09-12,"Hypo",NA,111.6087,515.0129,3.3432,1.8531,0.0025,33.4514,5.6558,4.0906,75.81
"114","McCarrons",2023-09-12,"Hypo",NA,728.6348,952.2128,4.6139,4.81859487179487,0.0109,NA,5.5221,10.2479,175.6
"115","Tanners",2023-09-12,"Hypo",NA,790.8304,1512.8909,3.4814,4.14666366906475,0.0048,30.5561,6.4893,10.4794,279.6
"116","Phalen",2023-09-12,"Hypo",NA,321.5061,512.1216,3.0852,1.9478,0.0067,20.478,5.7413,6.9104,193.6
"117","Bde Maka Ska",2023-09-13,"Hypo",NA,316.6995,406.544,2.15,1.0863,0.0074,20.1492,4.1445,3.7678,173.87
"118","Cedar",2023-09-13,"Hypo",NA,138.6435,623.472,2.5616,3.89060015993603,0.0055,28.9289,6.1305,9.0481,165.84
"119","Brownie",2023-09-13,"Hypo",NA,123.4617,199.8728,227.115,52.8471670682731,0.0078,NA,5.5464,2.7203,1163
"120","Smith",2023-10-20,"Epi",NA,3.025,49.5557,1.0469,0.014,0.0436,36.9733,NA,7.1901,14.67
"121","Henry",2023-10-20,"Epi",13.1448838909193,3.2244,29.447,1.3417,0.2844,0.1061,34.8201,NA,2.6456,483.92
"122","Uhlenkolts",2023-10-20,"Epi",69.5423964014619,410.936,693.5024,7.239,0.098,0.1054,39.6246,NA,11.9654,34.11
"123","Henry",2023-10-20,"Hypo",NA,372.5639,89.8323,1.5436,0.0173,0.1157,33.7453,10.2242,2.7001,479.36
"124","Smith",2023-10-20,"Hypo",NA,73.9058,194.535,0.8925,0.0224,0.0363,35.3015,14.9676,7.2614,15.01
"125","Uhlenkolts",2023-10-20,"Hypo",NA,444.5768,754.2498,17.177,2.3143,0.112,41.1483,0.2345,11.9234,34.84
"126","Minnetonka",2023-10-23,"Epi",4.50049817261737,2.7025,19.1359,0.9692,0.0159,0.01,28.7203,6.7883,3.8079,53.43
"127","Medicine",2023-10-23,"Epi",3.51287489457408,41.2701,79.134,1.1537,0.2137,0.1149,23.2553,6.7386,9.691,186.46
"128","Parkers",2023-10-23,"Epi",7.38502783244307,2.6014,26.5737,0.6146,0.098,0.0225,28.0584,5.0497,6.7914,186.6
"129","Snail",2023-11-13,"Epi",3.22250705650829,1.2995,15.8998,0.8393,0.0173,0.0175,18.5399,6.8268,NA,111.03
"130","Little Johanna",2023-10-26,"Epi",9.92582963171212,10.0681,47.0483,0.7963,0.0975,0.1952,13.0199,4.6358,2.6959,80.88
"131","Wabasso",2023-11-13,"Epi",6.35090806859713,4.1207,24.4477,0.7514,0.0523,0.0045,22.2069,7.1299,NA,65.69
"132","McCarrons",2023-10-26,"Epi",6.50834411020523,2.3583,20.7333,0.6088,0.0333,0.0087,27.9584,5.5557,1.5756,137.4
"133","Tanners",2023-10-24,"Epi",24.7258791116109,1.3749,24.7383,0.7615,0.0141,0.0045,27.0746,7.0468,1.9574,192.8
"134","Phalen",2023-10-24,"Epi",4.27746527973011,1.5178,17.6339,0.626,0.0226,0.009,23.0177,6.9013,2.4819,210.48
"135","Bde Maka Ska",2023-10-25,"Epi",18.1192510542592,3.6964,27.2272,0.7045,0.024,0.003,25.4021,5.4981,1.8147,165.41
"136","Cedar",2023-10-25,"Epi",18.7597908349733,2.8524,29.5111,0.8606,0.0306,0.0072,24.6082,6.9023,2.1966,157.97
"137","Brownie",2023-10-25,"Epi",27.3297093055946,10.814,58.3218,1.0725,0.1379,0.1797,26.175,4.5416,5.3144,245
"138","Minnetonka",2023-10-23,"Hypo",NA,66.1954,187.9552,1.5999,0.323,0.014,26.2229,7.8181,7.7524,43.52
"139","Medicine",2023-10-23,"Hypo",NA,76.1893,203.3335,1.2864,0.2224,0.1111,19.7155,7.477,9.6449,173.64
"140","Parkers",2023-10-23,"Hypo",NA,718.7436,870.487,5.331,3.99024567375886,0.0059,NA,6.4434,16.8498,621.8
"141","Snail",2023-11-13,"Hypo",NA,20.7127,63.9519,0.6379,0.0263,0.0147,17.4028,7.4332,NA,111.38
"142","Little Johanna",2023-10-26,"Hypo",NA,959.1008,4155.744,43.878,30.2734,0.0105,59.8218,8.6943,1.9952,1238.2
"143","Wabasso",2023-11-13,"Hypo",NA,172.2754,536.8317,3.2306,2.25296073705179,0.0026,28.8271,8.0474,NA,68.99
"144","McCarrons",2023-10-26,"Hypo",NA,591.527,676.6765,6.803,4.51678838509015,0.0029,45.3968,6.1694,10.7862,163.97
"145","Tanners",2023-10-24,"Hypo",NA,1520.81,1580.318,4.561,3.34849619938606,0.0037,39.9457,8.4398,10.417,238.08
"146","Phalen",2023-10-24,"Hypo",NA,436.4024,524.5033,2.7922,1.9857,0.0045,40.1825,6.82,7.018,179.13
"147","Bde Maka Ska",2023-10-25,"Hypo",NA,346.672,531.7551,3.2317,1.3995,0.0169,42.4356,6.1193,4.7059,175.23
"148","Cedar",2023-10-25,"Hypo",NA,401.343,467.669,4.6511,3.26657158372828,0.0061,47.3625,7.286,8.6126,168.06
"149","Brownie",2023-10-25,"Hypo",NA,681.185,3708.542,48.268,45.7300438356164,0.017,NA,8.8094,2.7169,1091.3
"150","Snail",2024-02-13,"Hypo",NA,5.0422,18.9883,0.7545,NA,0.0076,23.5646,7.5169,0.1211,NA
"151","Snail",2024-02-13,"Epi",NA,9.2718,29.7755,0.6078,NA,0.0101,19.7002,6.9118,-0.0024,NA
"152","Tanners",2024-02-14,"Epi",NA,94.9355,41.181,0.912,NA,0.116,31.0705,6.462,0.6688,NA
"153","Tanners",2024-02-14,"Hypo",NA,19.3599,136.0421,1.275,NA,0.1176,38.4082,7.0462,3.4186,NA
"154","Phalen",2024-02-14,"Epi",NA,58.8504,49.27,0.777,NA,0.0591,28.0947,5.7063,0.2405,NA
"155","Phalen",2024-02-14,"Hypo",NA,26.0992,78.012,0.9,NA,0.0521,30.4368,5.9608,1.3978,NA
"156","Henry",2024-02-21,"Hypo",NA,19.2568,60.1793,2.8316,NA,0.1638,45.9619,7.9107,8.7117,NA
"157","Henry",2024-02-21,"Epi",NA,59.7505,75.5264,1.6575,NA,0.1856,34.2338,8.3427,3.8028,NA
"158","Uhlenkolts",2024-02-21,"Hypo",NA,551.055,707.804,5.8552,NA,0.2319,47.4291,13.2743,14.2837,NA
"159","Uhlenkolts",2024-02-21,"Epi",NA,301.3745,515.9819,4.0523,NA,0.2508,32.8368,12.3362,11.2074,NA
"160","Smith",2024-02-21,"Hypo",NA,12.1162,30.1039,0.9026,NA,0.3681,40.9826,5.8185,25.5141,NA
"161","Smith",2024-02-21,"Epi",NA,NA,43.1012,0.6892,NA,0.1752,33.2485,5.2079,20.8194,NA
"162","Minnetonka",2024-04-11,"Hypo",NA,15.7312,22.5676,0.8538,NA,-0.004,28.8065,8.6168,0.4912,NA
"163","Minnetonka",2024-04-11,"Epi",1.16,23.1289,81.1358,0.641,NA,-6e-04,28.0425,8.6535,0.4912,NA
"164","Medicine",2024-04-11,"Hypo",NA,171.4741,2922.54,0.9397,NA,0.0085,24.0939,12.6396,3.0737,NA
"165","Medicine",2024-04-11,"Epi",1.43,15.6845,151.2211,0.5783,NA,-0.0055,28.2814,10.6415,2.7042,NA
"166","Wabasso",2024-04-12,"Hypo",16.39,240.0472,5227.354,2.0038,NA,-8e-04,21.1563,10.0378,4.2036,NA
